Date,Oprice,MaxPrice,MinPrice,CPrice
20080102,5349.763,5404.928,5283.448,5385.103
20080103,5381.147,5422.673,5315.948,5422.034
20080104,5430.63,5499.085,5422.456,5483.65
20080107,5480.442,5569.152,5455.501,5556.593
20080108,5575.95,5630.624,5485.234,5528.054
20080109,5507.116,5614.678,5490.305,5613.758
20080110,5631.645,5707.667,5602.594,5672.154
20080111,5688.563,5702.572,5629.638,5699.147
20080114,5717.525,5756.919,5679.287,5731.757
20080115,5743.431,5754.107,5652.04,5696.45
20080116,5642.566,5642.566,5498.39,5505.717
20080117,5445.803,5533.65,5226.639,5365.624
20080118,5358.183,5419.57,5307.496,5414.468
20080121,5424.64,5434.349,5122.463,5145.734
20080122,5015.428,5032.245,4708.388,4753.868
20080123,4787.171,4976.272,4751.499,4975.111
20080124,5034.533,5079.796,4926.374,5027.213
20080125,5022.896,5121.408,4966.519,5077.429
20080128,5038.507,5038.507,4711.277,4731.883
20080129,4742.901,4845.658,4688.728,4762.083
20080130,4817.161,4858.101,4606.144,4710.652
20080131,4693.607,4733.699,4614.282,4620.401
20080201,4623.621,4660.994,4414.119,4571.945
20080204,4695.546,4951.248,4695.546,4950.124
20080205,4942.875,4995.574,4878.119,4921.829
20080213,4858.814,4883.244,4785.8,4816.084
20080214,4858.849,4913.318,4842.847,4880.252
20080215,4846.024,4846.024,4742.101,4813.311
20080218,4875.215,4944.88,4845.308,4910.992
20080219,4926.839,5020.753,4885.695,5020.753
20080220,5032.777,5062.261,4901.661,4908.717
20080221,4878.569,4924.449,4796.099,4876.03
20080222,4850.882,4850.882,4649.813,4702.241
20080225,4704.316,4722.636,4510.695,4519.783
20080226,4637.6,4668.831,4394.594,4515.533
20080227,4543.097,4660.408,4500.89,4639.768
20080228,4651.157,4670.173,4582.823,4622.056
20080229,4616.24,4683.159,4597.627,4674.55
20080303,4648.735,4803.9,4611.7,4790.744
20080304,4813.401,4836.657,4657.381,4671.148
20080305,4650.518,4689.967,4519.743,4628.724
20080306,4645.069,4746.584,4592.621,4685.03
20080307,4641.755,4693.207,4597.009,4621.685
20080310,4588.727,4588.765,4406.232,4431.589
20080311,4393.282,4441.184,4315.183,4441.184
